"","value","sig","level","arts","overall_sig"
"animationattendance",0.0195771647432704,NA,"attendance","animation",NA
"animationparticipation",-0.0346610576200574,NA,"participation","animation",NA
"animationleadership",-0.123750264386096,NA,"leadership","animation",NA
"4",0,NA,"overall_pvalue","animation",NA
"architectureattendance",-0.0303260362360647,NA,"attendance","architecture",NA
"architectureparticipation",0.0205472591344925,NA,"participation","architecture",NA
"architectureleadership",0.00504167194798521,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.00229879731089354,NA,"attendance","comedy",NA
"comedyparticipation",-0.00884583619286091,NA,"participation","comedy",NA
"comedyleadership",-0.0728911169313955,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",-0.0182309616958792,NA,"attendance","comics",NA
"comicsparticipation",-0.0135835756362278,NA,"participation","comics",NA
"comicsleadership",-0.156348141028926,"*  ","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0316368014338529,NA,"attendance","crafts",NA
"craftsparticipation",0.0306690136491892,"*  ","participation","crafts",NA
"craftsleadership",0.0284225031461956,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",0.0340780843801751,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0825430519510345,"***","participation","cwriting",NA
"cwritingleadership",0.222075947084478,"***","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.00277266920374711,NA,"attendance","dance",NA
"danceparticipation",0.0138301852520783,NA,"participation","dance",NA
"danceleadership",0.162075975082672,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0328237614029338,"*  ","attendance","film",NA
"filmparticipation",0.0176666108257154,NA,"participation","film",NA
"filmleadership",0.0962525224191903,"*  ","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     *  "
"gdesignattendance",0.024470919593967,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0207299858887221,NA,"participation","gdesign",NA
"gdesignleadership",0.124779987201355,"** ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     *  "
"multimediaattendance",0.0221963410513952,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0706446642226513,"***","participation","multimedia",NA
"multimedialeadership",0.0309371807537399,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     ** "
"muscompattendance",0.0207230955090968,NA,"attendance","muscomp",NA
"muscompparticipation",-0.000178553473300897,NA,"participation","muscomp",NA
"muscompleadership",-0.0363059110238521,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.0182455993584335,NA,"attendance","musperf",NA
"musperfparticipation",0.0620522292167207,"** ","participation","musperf",NA
"musperfleadership",0.231073862389362,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0276179789367636,NA,"attendance","theatre",NA
"theatreparticipation",0.0622355155011342,"*  ","participation","theatre",NA
"theatreleadership",0.150748526082572,"***","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",0.0204480419076836,NA,"attendance","visart",NA
"visartparticipation",0.0614199115476917,"** ","participation","visart",NA
"visartleadership",0.144797962398305,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",0.0416088697539315,NA,"attendance","other",NA
"otherparticipation",-0.0508427973003263,NA,"participation","other",NA
"otherleadership",-0.0430333247110085,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
