"","value","sig","level","arts","overall_sig"
"animationattendance",-0.0200631510617806,NA,"attendance","animation",NA
"animationparticipation",-0.0313195362942741,NA,"participation","animation",NA
"animationleadership",-0.138035709368543,NA,"leadership","animation",NA
"4",0,NA,"overall_pvalue","animation",NA
"architectureattendance",0.033800196194176,NA,"attendance","architecture",NA
"architectureparticipation",-0.00597332744033666,NA,"participation","architecture",NA
"architectureleadership",0.0547884417920582,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0166777395329372,NA,"attendance","comedy",NA
"comedyparticipation",-0.0364430692058567,NA,"participation","comedy",NA
"comedyleadership",-0.0137300447741508,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",-0.0139009545532597,NA,"attendance","comics",NA
"comicsparticipation",0.019318073569833,NA,"participation","comics",NA
"comicsleadership",-0.267112737480597,"***","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics","     ** "
"craftsattendance",0.0256972221899006,NA,"attendance","crafts",NA
"craftsparticipation",0.0273175640658234,NA,"participation","crafts",NA
"craftsleadership",0.0262842495152906,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",0.00523525937155318,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0773735381814099,"***","participation","cwriting",NA
"cwritingleadership",0.152820238319878,"***","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0334877455088986,NA,"attendance","dance",NA
"danceparticipation",0.0249076906135148,NA,"participation","dance",NA
"danceleadership",0.0965015160272074,"** ","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     *  "
"filmattendance",0.0628481301697007,"***","attendance","film",NA
"filmparticipation",0.050442809358435,"*  ","participation","film",NA
"filmleadership",0.0828160031424412,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",-0.0459634409237279,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0399430217051373,NA,"participation","gdesign",NA
"gdesignleadership",0.148878403266975,"***","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     ***"
"multimediaattendance",0.0350020749524026,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0526431007665806,"*  ","participation","multimedia",NA
"multimedialeadership",0.0139799636102171,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.013088643140188,NA,"attendance","muscomp",NA
"muscompparticipation",-0.0370459301450304,NA,"participation","muscomp",NA
"muscompleadership",-0.106017443337326,"*  ","leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.062293578640893,"***","attendance","musperf",NA
"musperfparticipation",0.108662866823461,"***","participation","musperf",NA
"musperfleadership",0.285091909528873,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0660196412217184,"***","attendance","theatre",NA
"theatreparticipation",0.110430045779836,"***","participation","theatre",NA
"theatreleadership",0.128867469831611,"** ","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",0.128796310647857,"***","attendance","visart",NA
"visartparticipation",0.12942606819387,"***","participation","visart",NA
"visartleadership",0.214401865967211,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0635173119938822,NA,"attendance","other",NA
"otherparticipation",-0.0501707942928071,NA,"participation","other",NA
"otherleadership",0.0292987684021925,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
