"","value","sig","level","arts","overall_sig"
"animationattendance",-0.00236480141394446,NA,"attendance","animation",NA
"animationparticipation",0.0695494013000949,"*  ","participation","animation",NA
"animationleadership",-0.165071879126755,"** ","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",-0.00024329448388782,NA,"attendance","architecture",NA
"architectureparticipation",0.0898149761648832,"** ","participation","architecture",NA
"architectureleadership",0.0953404402576054,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture","     ** "
"comedyattendance",-0.0135708923105384,NA,"attendance","comedy",NA
"comedyparticipation",-0.02580631702337,NA,"participation","comedy",NA
"comedyleadership",-0.163693158289071,"** ","leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy","     *  "
"comicsattendance",0.0246190113602788,NA,"attendance","comics",NA
"comicsparticipation",0.0293406562940849,NA,"participation","comics",NA
"comicsleadership",-0.0983658633060266,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0232695252517005,NA,"attendance","crafts",NA
"craftsparticipation",0.0168432444329533,NA,"participation","crafts",NA
"craftsleadership",0.0262544842648215,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",0.0239730350796528,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0484005912976737,"***","participation","cwriting",NA
"cwritingleadership",0.203544023454972,"***","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.011650087433308,NA,"attendance","dance",NA
"danceparticipation",-0.00291193950968332,NA,"participation","dance",NA
"danceleadership",0.0337013717239991,NA,"leadership","dance",NA
"28",0,NA,"overall_pvalue","dance",NA
"filmattendance",0.0280599886703524,"*  ","attendance","film",NA
"filmparticipation",0.031463977854133,NA,"participation","film",NA
"filmleadership",0.0870014985879288,"*  ","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     *  "
"gdesignattendance",0.0185541550639041,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0601410407235984,"** ","participation","gdesign",NA
"gdesignleadership",0.19956512697778,"***","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     ***"
"multimediaattendance",0.0249094385470534,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0449039507017128,"*  ","participation","multimedia",NA
"multimedialeadership",0.051236767874135,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     *  "
"muscompattendance",0.0202713470259585,NA,"attendance","muscomp",NA
"muscompparticipation",0.0387222710754493,NA,"participation","muscomp",NA
"muscompleadership",0.00245278517227065,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",-0.0490083188752284,"***","attendance","musperf",NA
"musperfparticipation",-0.0261450083308388,NA,"participation","musperf",NA
"musperfleadership",0.0890076475934121,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0353917268259778,"** ","attendance","theatre",NA
"theatreparticipation",0.0739528506433096,"** ","participation","theatre",NA
"theatreleadership",0.248559383881212,"***","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",0.0218938107027899,NA,"attendance","visart",NA
"visartparticipation",0.0557315586033962,"***","participation","visart",NA
"visartleadership",0.180084095147979,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0275659654493192,NA,"attendance","other",NA
"otherparticipation",-0.0221882677405993,NA,"participation","other",NA
"otherleadership",0.0580748902885188,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
