"","value","sig","level","arts","overall_sig"
"animationattendance",0.00910389362516256,NA,"attendance","animation",NA
"animationparticipation",0.0466232508296858,NA,"participation","animation",NA
"animationleadership",-0.191569217052103,"** ","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",-0.00517846117800494,NA,"attendance","architecture",NA
"architectureparticipation",-0.00766712373919759,NA,"participation","architecture",NA
"architectureleadership",0.0255088327608511,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.00872830978735588,NA,"attendance","comedy",NA
"comedyparticipation",-0.0133023852355381,NA,"participation","comedy",NA
"comedyleadership",0.0827076555404896,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",-0.0141385540340953,NA,"attendance","comics",NA
"comicsparticipation",-0.0606055233664072,"*  ","participation","comics",NA
"comicsleadership",-0.115170900960198,"*  ","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics","     *  "
"craftsattendance",0.032267981463078,NA,"attendance","crafts",NA
"craftsparticipation",0.0208753167664141,NA,"participation","crafts",NA
"craftsleadership",-0.0150173437882823,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",-0.0350560329175167,"*  ","attendance","cwriting",NA
"cwritingparticipation",0.036459228538147,"** ","participation","cwriting",NA
"cwritingleadership",0.0498638321842204,NA,"leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0116940401168041,NA,"attendance","dance",NA
"danceparticipation",0.0480714253986155,"***","participation","dance",NA
"danceleadership",0.199307560584394,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0143289445438934,NA,"attendance","film",NA
"filmparticipation",-0.0228554860793339,NA,"participation","film",NA
"filmleadership",0.0528455042792404,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film",NA
"gdesignattendance",0.0401772540528156,NA,"attendance","gdesign",NA
"gdesignparticipation",0.032844287019171,NA,"participation","gdesign",NA
"gdesignleadership",0.0775008919050452,"*  ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     *  "
"multimediaattendance",0.0115824907559852,NA,"attendance","multimedia",NA
"multimediaparticipation",0.045369790824331,"** ","participation","multimedia",NA
"multimedialeadership",0.0184635284530342,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.00310240879774403,NA,"attendance","muscomp",NA
"muscompparticipation",0.0379696719584516,NA,"participation","muscomp",NA
"muscompleadership",-0.0761600289871974,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp","     *  "
"musperfattendance",-0.0267408422757641,"*  ","attendance","musperf",NA
"musperfparticipation",0.0367712184316436,"*  ","participation","musperf",NA
"musperfleadership",0.211302283701888,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0103752873603577,NA,"attendance","theatre",NA
"theatreparticipation",-0.000685984969797279,NA,"participation","theatre",NA
"theatreleadership",0.0189095238694885,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre",NA
"visartattendance",-0.0119439939075189,NA,"attendance","visart",NA
"visartparticipation",0.039045874986702,"*  ","participation","visart",NA
"visartleadership",0.112621914209101,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",0.0299884033267044,NA,"attendance","other",NA
"otherparticipation",-0.0140741879636745,NA,"participation","other",NA
"otherleadership",0.0303735805056857,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
