"","value","sig","level","arts","overall_sig"
"animationattendance",-0.0668009140148422,"*  ","attendance","animation",NA
"animationparticipation",-0.0689134737740338,NA,"participation","animation",NA
"animationleadership",-0.258408337584185,"** ","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",0.0431267922317217,NA,"attendance","architecture",NA
"architectureparticipation",-0.0175389890499218,NA,"participation","architecture",NA
"architectureleadership",-0.00956970571581416,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0569421254913773,"***","attendance","comedy",NA
"comedyparticipation",0.080550675114549,"*  ","participation","comedy",NA
"comedyleadership",0.131894252649857,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy","     ** "
"comicsattendance",0.0173407669396168,NA,"attendance","comics",NA
"comicsparticipation",0.0113415566845183,NA,"participation","comics",NA
"comicsleadership",0.0212958834386265,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0111522523257257,NA,"attendance","crafts",NA
"craftsparticipation",0.0310287162190677,NA,"participation","crafts",NA
"craftsleadership",0.0760199590282872,"*  ","leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",0.0592414460550406,"*  ","attendance","cwriting",NA
"cwritingparticipation",0.0840041904769042,"***","participation","cwriting",NA
"cwritingleadership",0.125684600670014,"** ","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0352228014694436,NA,"attendance","dance",NA
"danceparticipation",0.0548416883041552,"** ","participation","dance",NA
"danceleadership",0.122803246031811,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0801909707236841,"***","attendance","film",NA
"filmparticipation",0.0296251970214333,NA,"participation","film",NA
"filmleadership",0.0533273930165684,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",-0.0306351265828433,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0102791231931411,NA,"participation","gdesign",NA
"gdesignleadership",0.0483299359036782,NA,"leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign",NA
"multimediaattendance",0.0289465007128191,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0148652996660621,NA,"participation","multimedia",NA
"multimedialeadership",0.0779984571496041,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.0657418496996612,"** ","attendance","muscomp",NA
"muscompparticipation",0.0405945276683901,NA,"participation","muscomp",NA
"muscompleadership",-0.0790405153375855,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp","     ** "
"musperfattendance",0.075451027281454,"***","attendance","musperf",NA
"musperfparticipation",0.0765239269906261,"***","participation","musperf",NA
"musperfleadership",0.171676447358992,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0251599135159297,NA,"attendance","theatre",NA
"theatreparticipation",0.0234555687210407,NA,"participation","theatre",NA
"theatreleadership",-0.0585261309578459,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre",NA
"visartattendance",0.0961628460690174,"***","attendance","visart",NA
"visartparticipation",0.0973571805651221,"***","participation","visart",NA
"visartleadership",0.140220958698302,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0156144503313474,NA,"attendance","other",NA
"otherparticipation",-0.00606758775593627,NA,"participation","other",NA
"otherleadership",0.00727355700575047,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
