"","value","sig","level","arts","overall_sig"
"animationattendance",0.00853171558723451,NA,"attendance","animation",NA
"animationparticipation",0.0197214169364768,NA,"participation","animation",NA
"animationleadership",-0.15163471394418,"*  ","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation",NA
"architectureattendance",0.00278986686302597,NA,"attendance","architecture",NA
"architectureparticipation",0.0124464490737766,NA,"participation","architecture",NA
"architectureleadership",0.0243997859904189,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0106365874418848,NA,"attendance","comedy",NA
"comedyparticipation",-0.00431950302911565,NA,"participation","comedy",NA
"comedyleadership",0.143661596666858,"** ","leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",-0.0280598451227377,NA,"attendance","comics",NA
"comicsparticipation",-0.0299212702161513,NA,"participation","comics",NA
"comicsleadership",-0.14299725713419,"*  ","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics","     *  "
"craftsattendance",0.052772076529943,"** ","attendance","crafts",NA
"craftsparticipation",0.0357563976391827,"** ","participation","crafts",NA
"craftsleadership",0.0629019822139011,"*  ","leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     ** "
"cwritingattendance",0.0236732223787138,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0244475175235823,NA,"participation","cwriting",NA
"cwritingleadership",0.0267603445867915,NA,"leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting",NA
"danceattendance",-0.00279696745765202,NA,"attendance","dance",NA
"danceparticipation",0.0218470734105065,NA,"participation","dance",NA
"danceleadership",0.232989861891179,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0105323502781982,NA,"attendance","film",NA
"filmparticipation",0.0128655255481348,NA,"participation","film",NA
"filmleadership",0.133421508168656,"***","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ** "
"gdesignattendance",0.00887486330989895,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0592316284149151,"** ","participation","gdesign",NA
"gdesignleadership",0.11725165822093,"** ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     ** "
"multimediaattendance",0.0493735821831408,"** ","attendance","multimedia",NA
"multimediaparticipation",0.0750729575011301,"***","participation","multimedia",NA
"multimedialeadership",0.0609974355459601,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     ***"
"muscompattendance",0.00499613447769406,NA,"attendance","muscomp",NA
"muscompparticipation",0.00512144645031774,NA,"participation","muscomp",NA
"muscompleadership",-0.0748041560395819,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",-0.0203721777932916,NA,"attendance","musperf",NA
"musperfparticipation",0.0801411448287748,"***","participation","musperf",NA
"musperfleadership",0.240660610601309,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0310460824986471,"*  ","attendance","theatre",NA
"theatreparticipation",0.0612308853052899,"** ","participation","theatre",NA
"theatreleadership",0.0579002438367917,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     *  "
"visartattendance",-0.032953992207911,"*  ","attendance","visart",NA
"visartparticipation",-0.0146802547822819,NA,"participation","visart",NA
"visartleadership",0.0784139224391188,"*  ","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ** "
"otherattendance",-0.000911075140308366,NA,"attendance","other",NA
"otherparticipation",-0.025140557239891,NA,"participation","other",NA
"otherleadership",0.0396138023011707,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
