"","value","sig","level","arts","overall_sig"
"animationattendance",0.00327676245574598,NA,"attendance","animation",NA
"animationparticipation",-0.00611719082775935,NA,"participation","animation",NA
"animationleadership",0.0376382239833148,NA,"leadership","animation",NA
"4",0,NA,"overall_pvalue","animation",NA
"architectureattendance",0.00438668102905575,NA,"attendance","architecture",NA
"architectureparticipation",0.0356316043720291,NA,"participation","architecture",NA
"architectureleadership",-0.10563639038989,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0220004989758728,NA,"attendance","comedy",NA
"comedyparticipation",0.0196903620207883,NA,"participation","comedy",NA
"comedyleadership",-0.0122870806615572,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",0.0252015831314708,NA,"attendance","comics",NA
"comicsparticipation",0.038806816499807,NA,"participation","comics",NA
"comicsleadership",-0.183422515058754,"** ","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics","     ** "
"craftsattendance",0.0111197097543686,NA,"attendance","crafts",NA
"craftsparticipation",0.0285599229464122,NA,"participation","crafts",NA
"craftsleadership",0.0364090969093799,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",-0.0108286901627954,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0699025038600023,"***","participation","cwriting",NA
"cwritingleadership",0.109585900663676,"** ","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0352042420179714,"*  ","attendance","dance",NA
"danceparticipation",0.0457825325459728,"** ","participation","dance",NA
"danceleadership",0.164337996934256,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0489078660998103,"***","attendance","film",NA
"filmparticipation",0.0337614827316087,NA,"participation","film",NA
"filmleadership",0.117746281061712,"** ","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",0.00465922835154674,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0358855031721249,NA,"participation","gdesign",NA
"gdesignleadership",0.0407222428268253,NA,"leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign",NA
"multimediaattendance",0.02880339505074,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0227921672103783,NA,"participation","multimedia",NA
"multimedialeadership",-0.0252880270518664,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.0147083587625807,NA,"attendance","muscomp",NA
"muscompparticipation",0.0204467812440359,NA,"participation","muscomp",NA
"muscompleadership",-0.0916654840447916,"*  ","leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.00438775715292557,NA,"attendance","musperf",NA
"musperfparticipation",0.0546423245483021,"** ","participation","musperf",NA
"musperfleadership",0.232302327221796,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0253228796800996,NA,"attendance","theatre",NA
"theatreparticipation",0.00476400976200187,NA,"participation","theatre",NA
"theatreleadership",0.040655949929638,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre",NA
"visartattendance",0.0269371086052991,NA,"attendance","visart",NA
"visartparticipation",0.0345117004246637,NA,"participation","visart",NA
"visartleadership",0.164946001170765,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",0.053041264779616,NA,"attendance","other",NA
"otherparticipation",-0.0567210937105334,NA,"participation","other",NA
"otherleadership",-0.00415590809848176,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
