"","value","sig","level","arts","overall_sig"
"animationattendance",-0.0121864177880202,NA,"attendance","animation",NA
"animationparticipation",-0.0850725571205769,"*  ","participation","animation",NA
"animationleadership",-0.305760519785758,"***","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ***"
"architectureattendance",0.0191347643940622,NA,"attendance","architecture",NA
"architectureparticipation",-0.0265155209790332,NA,"participation","architecture",NA
"architectureleadership",-0.0302463297108331,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0152627622666274,NA,"attendance","comedy",NA
"comedyparticipation",-0.0410004890543515,NA,"participation","comedy",NA
"comedyleadership",-0.0444095072701755,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",-0.0212482394711344,NA,"attendance","comics",NA
"comicsparticipation",0.00622312455384758,NA,"participation","comics",NA
"comicsleadership",-0.0733237768095051,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0576452438953921,"*  ","attendance","crafts",NA
"craftsparticipation",0.0739813565310403,"***","participation","crafts",NA
"craftsleadership",0.0667594242848389,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     ***"
"cwritingattendance",0.00330121081730725,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0553845644999128,"***","participation","cwriting",NA
"cwritingleadership",0.0949238399274836,"*  ","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ** "
"danceattendance",0.0426087532655333,"*  ","attendance","dance",NA
"danceparticipation",0.032807417918462,NA,"participation","dance",NA
"danceleadership",0.115602610768428,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ** "
"filmattendance",0.131139517885088,"***","attendance","film",NA
"filmparticipation",0.0954613008625129,"***","participation","film",NA
"filmleadership",0.0628383641072442,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",-0.0326395329575774,NA,"attendance","gdesign",NA
"gdesignparticipation",-0.0186503149609357,NA,"participation","gdesign",NA
"gdesignleadership",0.051220658671591,NA,"leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign",NA
"multimediaattendance",-0.034176194490329,NA,"attendance","multimedia",NA
"multimediaparticipation",0.00863803345930188,NA,"participation","multimedia",NA
"multimedialeadership",-0.0320684854146781,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.0442319995809882,NA,"attendance","muscomp",NA
"muscompparticipation",-0.00440265958271528,NA,"participation","muscomp",NA
"muscompleadership",0.00232605498679937,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.127416534896004,"***","attendance","musperf",NA
"musperfparticipation",0.157739306465122,"***","participation","musperf",NA
"musperfleadership",0.235899772816128,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0608354106500487,"***","attendance","theatre",NA
"theatreparticipation",0.0406517977834853,NA,"participation","theatre",NA
"theatreleadership",0.133828378754937,"** ","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",0.129941839086262,"***","attendance","visart",NA
"visartparticipation",0.148225088004286,"***","participation","visart",NA
"visartleadership",0.217236914074446,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0958722046110676,"*  ","attendance","other",NA
"otherparticipation",-0.0709819719122225,NA,"participation","other",NA
"otherleadership",-0.0549647384311205,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other","     *  "
