"","value","sig","level","arts","overall_sig"
"animationattendance",0.0141281736838374,NA,"attendance","animation",NA
"animationparticipation",0.044276753908115,NA,"participation","animation",NA
"animationleadership",-0.0372872365613655,NA,"leadership","animation",NA
"4",0,NA,"overall_pvalue","animation",NA
"architectureattendance",0.017162738582034,NA,"attendance","architecture",NA
"architectureparticipation",0.021669631342763,NA,"participation","architecture",NA
"architectureleadership",-0.0563428327460465,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0130354165217175,NA,"attendance","comedy",NA
"comedyparticipation",-0.00863129637146212,NA,"participation","comedy",NA
"comedyleadership",0.112121997483591,"*  ","leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy","     *  "
"comicsattendance",-0.0152482543413097,NA,"attendance","comics",NA
"comicsparticipation",-0.0438862821468798,"*  ","participation","comics",NA
"comicsleadership",-0.157686116294678,"***","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics","     ** "
"craftsattendance",0.0107300761212522,NA,"attendance","crafts",NA
"craftsparticipation",0.0127669621135292,NA,"participation","crafts",NA
"craftsleadership",-0.0466143643125037,"*  ","leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",-0.0257506109890305,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0216183949204706,"*  ","participation","cwriting",NA
"cwritingleadership",0.0517287152160337,"*  ","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ** "
"danceattendance",0.0135963949458927,NA,"attendance","dance",NA
"danceparticipation",0.0150807654714666,NA,"participation","dance",NA
"danceleadership",0.171366595900332,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0160338210687415,NA,"attendance","film",NA
"filmparticipation",0.0166353685313475,NA,"participation","film",NA
"filmleadership",0.112241959380621,"***","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ** "
"gdesignattendance",0.0044176742245657,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0247186061268347,NA,"participation","gdesign",NA
"gdesignleadership",0.071629793066984,"*  ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign",NA
"multimediaattendance",0.0367596663334726,"** ","attendance","multimedia",NA
"multimediaparticipation",0.0516212312987768,"***","participation","multimedia",NA
"multimedialeadership",0.0360143675209351,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     ** "
"muscompattendance",-0.00686412305703668,NA,"attendance","muscomp",NA
"muscompparticipation",0.0343074358812016,"*  ","participation","muscomp",NA
"muscompleadership",-0.00576973924478253,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",-0.0136454692431127,NA,"attendance","musperf",NA
"musperfparticipation",0.0518764212934735,"***","participation","musperf",NA
"musperfleadership",0.172526129152672,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.00882239109639979,NA,"attendance","theatre",NA
"theatreparticipation",0.0331905557943021,NA,"participation","theatre",NA
"theatreleadership",0.0278767592770684,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre",NA
"visartattendance",-0.0143752475747182,NA,"attendance","visart",NA
"visartparticipation",0.00552304365259099,NA,"participation","visart",NA
"visartleadership",0.0832150264877118,"** ","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ** "
"otherattendance",0.0475939887173699,NA,"attendance","other",NA
"otherparticipation",-0.0227307311872453,NA,"participation","other",NA
"otherleadership",-0.0418037039779201,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
