"","value","sig","level","arts","overall_sig"
"animationattendance",-0.011261812555508,NA,"attendance","animation",NA
"animationparticipation",0.00986284299431188,NA,"participation","animation",NA
"animationleadership",-0.258675108578705,"***","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",-0.0248595044124235,NA,"attendance","architecture",NA
"architectureparticipation",-0.0500007836994846,NA,"participation","architecture",NA
"architectureleadership",0.00155141140875854,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.000697450651389042,NA,"attendance","comedy",NA
"comedyparticipation",-0.107379258346611,"** ","participation","comedy",NA
"comedyleadership",0.022421779848075,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy","     *  "
"comicsattendance",-0.00970630986835874,NA,"attendance","comics",NA
"comicsparticipation",0.00467643577847851,NA,"participation","comics",NA
"comicsleadership",-0.104006878415786,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.05599755116923,"*  ","attendance","crafts",NA
"craftsparticipation",0.0721418692830209,"***","participation","crafts",NA
"craftsleadership",0.06083314068942,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     ***"
"cwritingattendance",0.0106886060896996,NA,"attendance","cwriting",NA
"cwritingparticipation",0.114005476457783,"***","participation","cwriting",NA
"cwritingleadership",0.178450914794228,"***","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0164272594900658,NA,"attendance","dance",NA
"danceparticipation",0.0489402438103723,"** ","participation","dance",NA
"danceleadership",0.216703170850758,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0541566551564882,"***","attendance","film",NA
"filmparticipation",0.0769234092706681,"***","participation","film",NA
"filmleadership",0.135248751940785,"** ","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",0.0118228468732029,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0593103650540613,"*  ","participation","gdesign",NA
"gdesignleadership",0.198282405498313,"***","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     ***"
"multimediaattendance",0.0231804385079022,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0357736052370412,NA,"participation","multimedia",NA
"multimedialeadership",-0.0100976912990187,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.0207526458401953,NA,"attendance","muscomp",NA
"muscompparticipation",-0.0116084382087364,NA,"participation","muscomp",NA
"muscompleadership",-0.0783432588916047,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.0219723671925273,NA,"attendance","musperf",NA
"musperfparticipation",0.113480080783546,"***","participation","musperf",NA
"musperfleadership",0.285107400367271,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.034653902468116,"*  ","attendance","theatre",NA
"theatreparticipation",0.0615410634180282,"*  ","participation","theatre",NA
"theatreleadership",0.0974859457942306,"*  ","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     *  "
"visartattendance",0.0508783521459761,"** ","attendance","visart",NA
"visartparticipation",0.138480753528458,"***","participation","visart",NA
"visartleadership",0.238960097519032,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",0.024793957929101,NA,"attendance","other",NA
"otherparticipation",-0.0453971300838434,NA,"participation","other",NA
"otherleadership",-0.0576383238626131,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
