"","value","sig","level","arts","overall_sig"
"animationattendance",-0.0367378733754466,NA,"attendance","animation",NA
"animationparticipation",-0.0382272005714195,NA,"participation","animation",NA
"animationleadership",-0.184506416135089,"*  ","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     *  "
"architectureattendance",-0.0368204220223307,NA,"attendance","architecture",NA
"architectureparticipation",-0.0182862289886784,NA,"participation","architecture",NA
"architectureleadership",-0.0723743818726342,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0165285725986496,NA,"attendance","comedy",NA
"comedyparticipation",-0.0672083697981918,"*  ","participation","comedy",NA
"comedyleadership",-0.125919816594566,"*  ","leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy","     *  "
"comicsattendance",0.0173388836787857,NA,"attendance","comics",NA
"comicsparticipation",-0.0292576447264252,NA,"participation","comics",NA
"comicsleadership",-0.00558128752160369,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0566025877616574,"*  ","attendance","crafts",NA
"craftsparticipation",0.06479530720939,"***","participation","crafts",NA
"craftsleadership",0.0175692173521241,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     ***"
"cwritingattendance",0.0226380482033359,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0423287777877403,"** ","participation","cwriting",NA
"cwritingleadership",0.0472588469008451,NA,"leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     *  "
"danceattendance",0.0212876413830694,NA,"attendance","dance",NA
"danceparticipation",0.0616635761434191,"***","participation","dance",NA
"danceleadership",0.0770091630175475,"*  ","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ** "
"filmattendance",0.112086780188946,"***","attendance","film",NA
"filmparticipation",0.0966607407143906,"***","participation","film",NA
"filmleadership",0.127854471055506,"** ","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",-0.0200383453908629,NA,"attendance","gdesign",NA
"gdesignparticipation",-0.00839244893500332,NA,"participation","gdesign",NA
"gdesignleadership",0.057793557515456,NA,"leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign",NA
"multimediaattendance",-0.0201108732621039,NA,"attendance","multimedia",NA
"multimediaparticipation",-0.0319817176739096,NA,"participation","multimedia",NA
"multimedialeadership",-0.0510609077715665,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",-0.0199466750293072,NA,"attendance","muscomp",NA
"muscompparticipation",-0.0180501350805217,NA,"participation","muscomp",NA
"muscompleadership",-0.110416173723735,"*  ","leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.123674391165534,"***","attendance","musperf",NA
"musperfparticipation",0.143167679592748,"***","participation","musperf",NA
"musperfleadership",0.229295732715437,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0573433494892899,"***","attendance","theatre",NA
"theatreparticipation",0.0774235880207259,"** ","participation","theatre",NA
"theatreleadership",0.0705970070121535,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",0.0272333327331242,NA,"attendance","visart",NA
"visartparticipation",0.0378388999790337,NA,"participation","visart",NA
"visartleadership",0.0731824159617072,"*  ","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart",NA
"otherattendance",-0.0534826804951198,NA,"attendance","other",NA
"otherparticipation",-0.0854773286953482,"*  ","participation","other",NA
"otherleadership",0.00818789771495527,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
