"","value","sig","level","arts","overall_sig"
"animationattendance",-0.00249226776896723,NA,"attendance","animation",NA
"animationparticipation",-0.0220760233127758,NA,"participation","animation",NA
"animationleadership",-0.266295300053452,"***","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",-0.00492774801985584,NA,"attendance","architecture",NA
"architectureparticipation",-0.10065371151628,"** ","participation","architecture",NA
"architectureleadership",-0.202264793406106,"** ","leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture","     ***"
"comedyattendance",0.0237256762965568,NA,"attendance","comedy",NA
"comedyparticipation",-0.0237140088036149,NA,"participation","comedy",NA
"comedyleadership",0.0100346768063695,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",0.00624557950542474,NA,"attendance","comics",NA
"comicsparticipation",-0.0159400840197743,NA,"participation","comics",NA
"comicsleadership",-0.0343535166231697,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0416871074850594,NA,"attendance","crafts",NA
"craftsparticipation",0.00185525011907765,NA,"participation","crafts",NA
"craftsleadership",-0.0286150871473629,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",0.0179599712336385,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0152884892070312,NA,"participation","cwriting",NA
"cwritingleadership",0.0716661109767709,"*  ","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting",NA
"danceattendance",0.0397668852146055,"*  ","attendance","dance",NA
"danceparticipation",0.063366685592923,"***","participation","dance",NA
"danceleadership",0.205039265399563,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0184321933629642,NA,"attendance","film",NA
"filmparticipation",0.029835582168374,NA,"participation","film",NA
"filmleadership",0.129184511640767,"** ","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     *  "
"gdesignattendance",0.0120131320897434,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0689399378466937,"** ","participation","gdesign",NA
"gdesignleadership",0.179392261711322,"***","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     ***"
"multimediaattendance",0.0532754507426456,"** ","attendance","multimedia",NA
"multimediaparticipation",0.0532273333087756,"** ","participation","multimedia",NA
"multimedialeadership",0.0758216702901484,"*  ","leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     ** "
"muscompattendance",-0.00787878319724695,NA,"attendance","muscomp",NA
"muscompparticipation",0.0151608741310022,NA,"participation","muscomp",NA
"muscompleadership",-0.0218350440737735,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",-0.0142966485555541,NA,"attendance","musperf",NA
"musperfparticipation",0.0593281027298234,"** ","participation","musperf",NA
"musperfleadership",0.224740679959969,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0235595569596635,NA,"attendance","theatre",NA
"theatreparticipation",0.0957136515547539,"***","participation","theatre",NA
"theatreleadership",0.166269027665093,"***","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",-0.0159824362803648,NA,"attendance","visart",NA
"visartparticipation",0.0147602958815063,NA,"participation","visart",NA
"visartleadership",0.0983616853380755,"** ","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     *  "
"otherattendance",-0.0330566182339053,NA,"attendance","other",NA
"otherparticipation",0.0279778737651065,NA,"participation","other",NA
"otherleadership",0.0238938791452445,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
