"","value","sig","level","arts","overall_sig"
"animationattendance",0.0103010450696416,NA,"attendance","animation",NA
"animationparticipation",-0.116886137265164,"** ","participation","animation",NA
"animationleadership",-0.26257984265341,"** ","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ***"
"architectureattendance",0.003704548697447,NA,"attendance","architecture",NA
"architectureparticipation",-0.00113271441407232,NA,"participation","architecture",NA
"architectureleadership",-0.104081904407938,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",-0.00848562758316669,NA,"attendance","comedy",NA
"comedyparticipation",-0.00176430430648269,NA,"participation","comedy",NA
"comedyleadership",0.0139580874694705,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",0.0136200816451394,NA,"attendance","comics",NA
"comicsparticipation",-0.0359809792963056,NA,"participation","comics",NA
"comicsleadership",-0.168949316005209,"*  ","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0812670657523174,"***","attendance","crafts",NA
"craftsparticipation",0.0710523261800866,"***","participation","crafts",NA
"craftsleadership",0.0834367643338331,"*  ","leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     ***"
"cwritingattendance",0.0759528813442081,"** ","attendance","cwriting",NA
"cwritingparticipation",0.123726727819911,"***","participation","cwriting",NA
"cwritingleadership",0.219031837285177,"***","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0184697933202419,NA,"attendance","dance",NA
"danceparticipation",0.103079495079261,"***","participation","dance",NA
"danceleadership",0.275352790966457,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0540076716363862,"** ","attendance","film",NA
"filmparticipation",0.0457005326483983,NA,"participation","film",NA
"filmleadership",0.0760355163539957,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ** "
"gdesignattendance",-0.00343449647342892,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0457620527866962,NA,"participation","gdesign",NA
"gdesignleadership",0.133823902965437,"** ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     *  "
"multimediaattendance",0.0182611009706383,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0137008853668198,NA,"participation","multimedia",NA
"multimedialeadership",-0.0901690073731563,"*  ","leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia",NA
"muscompattendance",0.0226661611290164,NA,"attendance","muscomp",NA
"muscompparticipation",-0.0211107928347463,NA,"participation","muscomp",NA
"muscompleadership",-0.0367270881347836,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.0238891937144871,NA,"attendance","musperf",NA
"musperfparticipation",0.133010067032969,"***","participation","musperf",NA
"musperfleadership",0.311690903991915,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0468109290742962,"** ","attendance","theatre",NA
"theatreparticipation",0.0447618246120481,NA,"participation","theatre",NA
"theatreleadership",0.0263581170457513,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     *  "
"visartattendance",0.0367716782691708,"*  ","attendance","visart",NA
"visartparticipation",0.144624015800636,"***","participation","visart",NA
"visartleadership",0.19761499113533,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0757437365641565,NA,"attendance","other",NA
"otherparticipation",-0.0637066922592378,NA,"participation","other",NA
"otherleadership",-0.031682759310287,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
