"","value","sig","level","arts","overall_sig"
"animationattendance",0.0378601418073089,"*  ","attendance","animation",NA
"animationparticipation",-0.034669361537286,NA,"participation","animation",NA
"animationleadership",-0.000145215816725998,NA,"leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     *  "
"architectureattendance",0.0360956717720514,"*  ","attendance","architecture",NA
"architectureparticipation",-0.00457590153623064,NA,"participation","architecture",NA
"architectureleadership",-0.109417273857252,"*  ","leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture","     ** "
"comedyattendance",-0.00035997375876892,NA,"attendance","comedy",NA
"comedyparticipation",-0.0100568350018657,NA,"participation","comedy",NA
"comedyleadership",-0.0454401556411473,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",-0.0357892479001822,"*  ","attendance","comics",NA
"comicsparticipation",-0.01739065727456,NA,"participation","comics",NA
"comicsleadership",0.052157636703413,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",-0.0215753243342331,NA,"attendance","crafts",NA
"craftsparticipation",0.00720968369908284,NA,"participation","crafts",NA
"craftsleadership",0.041562969566534,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",-0.00582272577382477,NA,"attendance","cwriting",NA
"cwritingparticipation",-0.000909127078698923,NA,"participation","cwriting",NA
"cwritingleadership",0.0509449633175467,"*  ","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting",NA
"danceattendance",0.0101047013709545,NA,"attendance","dance",NA
"danceparticipation",0.0203852655013133,NA,"participation","dance",NA
"danceleadership",0.0712505368561482,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ** "
"filmattendance",0.0172290637763592,NA,"attendance","film",NA
"filmparticipation",0.0196538599981587,NA,"participation","film",NA
"filmleadership",0.016095261870088,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film",NA
"gdesignattendance",-0.033093850096254,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0312103701497152,NA,"participation","gdesign",NA
"gdesignleadership",0.0237441212037217,NA,"leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     *  "
"multimediaattendance",0.0363187047927246,"** ","attendance","multimedia",NA
"multimediaparticipation",0.0398576715100397,"** ","participation","multimedia",NA
"multimedialeadership",0.00706179815612834,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     ** "
"muscompattendance",0.0499016166830103,"***","attendance","muscomp",NA
"muscompparticipation",-0.0177808586871493,NA,"participation","muscomp",NA
"muscompleadership",-0.0814245471157312,"*  ","leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp","     ***"
"musperfattendance",0.00931338440465453,NA,"attendance","musperf",NA
"musperfparticipation",0.0158838305896297,NA,"participation","musperf",NA
"musperfleadership",0.120648111807551,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0264225323539145,"*  ","attendance","theatre",NA
"theatreparticipation",0.0704119445802416,"***","participation","theatre",NA
"theatreleadership",0.0454109294498552,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ***"
"visartattendance",0.0127636306317063,NA,"attendance","visart",NA
"visartparticipation",0.00476711278873134,NA,"participation","visart",NA
"visartleadership",0.0598783049332084,"*  ","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart",NA
"otherattendance",-0.0156843322081214,NA,"attendance","other",NA
"otherparticipation",-0.00610160498023044,NA,"participation","other",NA
"otherleadership",0.00939432354734079,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
