"","value","sig","level","arts","overall_sig"
"animationattendance",-0.00153479818945669,NA,"attendance","animation",NA
"animationparticipation",-0.00120975269170217,NA,"participation","animation",NA
"animationleadership",-0.231607327032384,"***","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",-0.0193686773369856,NA,"attendance","architecture",NA
"architectureparticipation",0.0134487282018626,NA,"participation","architecture",NA
"architectureleadership",0.0216960260849586,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.00239248959767258,NA,"attendance","comedy",NA
"comedyparticipation",-0.0672946215992343,"*  ","participation","comedy",NA
"comedyleadership",0.0284619682881544,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",0.00205711493392077,NA,"attendance","comics",NA
"comicsparticipation",-0.0138958837466221,NA,"participation","comics",NA
"comicsleadership",-0.213646921521321,"***","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics","     ** "
"craftsattendance",0.058374589152763,"** ","attendance","crafts",NA
"craftsparticipation",0.01347027308445,NA,"participation","crafts",NA
"craftsleadership",0.0541908877492864,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     *  "
"cwritingattendance",-0.0124608375251365,NA,"attendance","cwriting",NA
"cwritingparticipation",0.00932752851310957,NA,"participation","cwriting",NA
"cwritingleadership",0.0425301197421998,NA,"leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting",NA
"danceattendance",0.0297284104756461,"*  ","attendance","dance",NA
"danceparticipation",0.0531283043474967,"** ","participation","dance",NA
"danceleadership",0.175465133631948,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0109702198513213,NA,"attendance","film",NA
"filmparticipation",-0.0049747256169142,NA,"participation","film",NA
"filmleadership",0.203147315784229,"***","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",-0.0128686620022272,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0638099807923451,"** ","participation","gdesign",NA
"gdesignleadership",0.111434471560228,"** ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     ***"
"multimediaattendance",0.0349860488419415,"*  ","attendance","multimedia",NA
"multimediaparticipation",0.0544230710851256,"** ","participation","multimedia",NA
"multimedialeadership",0.0162191110632038,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     *  "
"muscompattendance",-0.0188386320727362,NA,"attendance","muscomp",NA
"muscompparticipation",-0.018368279042949,NA,"participation","muscomp",NA
"muscompleadership",-0.13703756955316,"** ","leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp","     *  "
"musperfattendance",0.0016208844446859,NA,"attendance","musperf",NA
"musperfparticipation",0.106738668284343,"***","participation","musperf",NA
"musperfleadership",0.311745493703432,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0330080996280476,"*  ","attendance","theatre",NA
"theatreparticipation",0.0640392058744532,"** ","participation","theatre",NA
"theatreleadership",0.0679584764291565,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     *  "
"visartattendance",-0.00880891940008281,NA,"attendance","visart",NA
"visartparticipation",0.0105657687237241,NA,"participation","visart",NA
"visartleadership",0.12842908317972,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0408948843834128,NA,"attendance","other",NA
"otherparticipation",-0.0190313035243386,NA,"participation","other",NA
"otherleadership",-0.0745189085289453,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
