"","value","sig","level","arts","overall_sig"
"animationattendance",-0.00155132125241267,NA,"attendance","animation",NA
"animationparticipation",-0.0731843385327153,"*  ","participation","animation",NA
"animationleadership",-0.241997146508511,"***","leadership","animation",NA
"4",0,NA,"overall_pvalue","animation","     ** "
"architectureattendance",-0.0190376520230019,NA,"attendance","architecture",NA
"architectureparticipation",0.0110593566996017,NA,"participation","architecture",NA
"architectureleadership",-0.0313398459537736,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",-0.00269896576140004,NA,"attendance","comedy",NA
"comedyparticipation",-0.0849589756020215,"** ","participation","comedy",NA
"comedyleadership",-0.109175511441176,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy","     *  "
"comicsattendance",0.00848289555594146,NA,"attendance","comics",NA
"comicsparticipation",0.0241948250572139,NA,"participation","comics",NA
"comicsleadership",-0.130488367119562,"*  ","leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0215604851613684,NA,"attendance","crafts",NA
"craftsparticipation",0.0240910161886822,NA,"participation","crafts",NA
"craftsleadership",0.00795123013243848,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts",NA
"cwritingattendance",0.0178814534776079,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0309054721389366,"*  ","participation","cwriting",NA
"cwritingleadership",0.0347831811714902,NA,"leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting",NA
"danceattendance",0.0284636763385382,NA,"attendance","dance",NA
"danceparticipation",0.0892958382185549,"***","participation","dance",NA
"danceleadership",0.237311617455185,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0160611215739316,NA,"attendance","film",NA
"filmparticipation",-0.0215770479480452,NA,"participation","film",NA
"filmleadership",0.150305063386684,"***","leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",0.049007195653936,NA,"attendance","gdesign",NA
"gdesignparticipation",0.0356551231567184,NA,"participation","gdesign",NA
"gdesignleadership",0.0904042123812784,"*  ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     *  "
"multimediaattendance",0.0311941095345458,NA,"attendance","multimedia",NA
"multimediaparticipation",0.0467270270117182,"*  ","participation","multimedia",NA
"multimedialeadership",0.0715306828494098,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     *  "
"muscompattendance",-0.00243740877557038,NA,"attendance","muscomp",NA
"muscompparticipation",-0.00542782559103813,NA,"participation","muscomp",NA
"muscompleadership",-0.106029154666801,"*  ","leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.00347420072852769,NA,"attendance","musperf",NA
"musperfparticipation",0.134592969034025,"***","participation","musperf",NA
"musperfleadership",0.346246847023999,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0200387898962392,NA,"attendance","theatre",NA
"theatreparticipation",0.0694282823131573,"** ","participation","theatre",NA
"theatreleadership",0.128661964381759,"** ","leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre","     ** "
"visartattendance",0.000302610430118223,NA,"attendance","visart",NA
"visartparticipation",0.0205199427768324,NA,"participation","visart",NA
"visartleadership",0.160268917784309,"***","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0150437576241164,NA,"attendance","other",NA
"otherparticipation",0.0131129202801955,NA,"participation","other",NA
"otherleadership",0.019997204891254,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
