"","value","sig","level","arts","overall_sig"
"animationattendance",-0.0535615224045434,"*  ","attendance","animation",NA
"animationparticipation",-0.0476706737049469,NA,"participation","animation",NA
"animationleadership",-0.123744726635175,NA,"leadership","animation",NA
"4",0,NA,"overall_pvalue","animation",NA
"architectureattendance",0.0618027007838981,"*  ","attendance","architecture",NA
"architectureparticipation",0.0291529443075571,NA,"participation","architecture",NA
"architectureleadership",-0.0378215220119244,NA,"leadership","architecture",NA
"8",0,NA,"overall_pvalue","architecture",NA
"comedyattendance",0.0275783972686554,NA,"attendance","comedy",NA
"comedyparticipation",0.0290704207712763,NA,"participation","comedy",NA
"comedyleadership",-0.0366232958084725,NA,"leadership","comedy",NA
"12",0,NA,"overall_pvalue","comedy",NA
"comicsattendance",0.0046200107973698,NA,"attendance","comics",NA
"comicsparticipation",0.0100120992933404,NA,"participation","comics",NA
"comicsleadership",-0.112765745127121,NA,"leadership","comics",NA
"16",0,NA,"overall_pvalue","comics",NA
"craftsattendance",0.0516741722930971,"*  ","attendance","crafts",NA
"craftsparticipation",0.057997105865896,"***","participation","crafts",NA
"craftsleadership",0.0557245395063116,NA,"leadership","crafts",NA
"20",0,NA,"overall_pvalue","crafts","     ** "
"cwritingattendance",0.000273494510845872,NA,"attendance","cwriting",NA
"cwritingparticipation",0.0624641533514789,"***","participation","cwriting",NA
"cwritingleadership",0.138341286501853,"***","leadership","cwriting",NA
"24",0,NA,"overall_pvalue","cwriting","     ***"
"danceattendance",0.0462332284742143,"** ","attendance","dance",NA
"danceparticipation",0.0255664143344829,NA,"participation","dance",NA
"danceleadership",0.130308495146272,"***","leadership","dance",NA
"28",0,NA,"overall_pvalue","dance","     ***"
"filmattendance",0.0660983815253949,"***","attendance","film",NA
"filmparticipation",0.0427428263248871,NA,"participation","film",NA
"filmleadership",0.0617463841058686,NA,"leadership","film",NA
"32",0,NA,"overall_pvalue","film","     ***"
"gdesignattendance",-0.0162885668036854,NA,"attendance","gdesign",NA
"gdesignparticipation",-0.0065489544187743,NA,"participation","gdesign",NA
"gdesignleadership",0.109942148367658,"** ","leadership","gdesign",NA
"36",0,NA,"overall_pvalue","gdesign","     *  "
"multimediaattendance",0.0477007626485713,"*  ","attendance","multimedia",NA
"multimediaparticipation",0.061022436192176,"** ","participation","multimedia",NA
"multimedialeadership",0.0560118981069145,NA,"leadership","multimedia",NA
"40",0,NA,"overall_pvalue","multimedia","     ** "
"muscompattendance",0.037820275250087,NA,"attendance","muscomp",NA
"muscompparticipation",-0.0134332592047979,NA,"participation","muscomp",NA
"muscompleadership",-0.0353756779139098,NA,"leadership","muscomp",NA
"44",0,NA,"overall_pvalue","muscomp",NA
"musperfattendance",0.0476802679949561,"** ","attendance","musperf",NA
"musperfparticipation",0.0596834583357626,"** ","participation","musperf",NA
"musperfleadership",0.173214497604715,"***","leadership","musperf",NA
"48",0,NA,"overall_pvalue","musperf","     ***"
"theatreattendance",0.0351161648231788,"*  ","attendance","theatre",NA
"theatreparticipation",0.0307989031972734,NA,"participation","theatre",NA
"theatreleadership",0.0276852633377712,NA,"leadership","theatre",NA
"52",0,NA,"overall_pvalue","theatre",NA
"visartattendance",0.0625901122669641,"***","attendance","visart",NA
"visartparticipation",0.0652685799721144,"** ","participation","visart",NA
"visartleadership",0.0962639326456589,"*  ","leadership","visart",NA
"56",0,NA,"overall_pvalue","visart","     ***"
"otherattendance",-0.0246479668107787,NA,"attendance","other",NA
"otherparticipation",-0.0460403667405829,NA,"participation","other",NA
"otherleadership",0.0200892108336613,NA,"leadership","other",NA
"60",0,NA,"overall_pvalue","other",NA
